mean, median, max, min, range, stdev, variance, pushup
0.29384615384615387,0.39,0.77,-1.15,1.92,0.44314502681729306,0.1963775147928994,1
0.255,0.37,0.53,-0.44,0.97,0.2925930865309608,0.0856107142857143,1
0.3158333333333333,0.375,0.48,-0.22,0.7,0.17651526531404835,0.031157638888888884,1
0.333076923076923,0.36,0.69,-0.12,0.8099999999999999,0.19483265463881938,0.037959763313609465,1
0.28214285714285714,0.32999999999999996,0.67,-0.06,0.73,0.196693328067127,0.03868826530612245,1
0.2985714285714285,0.4,0.63,-0.26,0.89,0.2583977317143129,0.06676938775510204,1
0.35923076923076924,0.4,0.53,-0.04,0.5700000000000001,0.1612194652525909,0.02599171597633136,1
0.22941176470588234,0.29,0.69,-0.47,1.16,0.27592562058802333,0.0761349480968858,1
0.2685714285714286,0.31999999999999995,0.48,-0.09,0.57,0.1544047160113013,0.023840816326530605,1
0.2561538461538462,0.33,0.48,-0.26,0.74,0.18681700060748307,0.03490059171597633,1
0.21642857142857144,0.275,0.54,-0.16,0.7000000000000001,0.2067298839015762,0.04273724489795918,1
0.25,0.3,0.47,-0.25,0.72,0.19304576314093677,0.03726666666666666,1
0.19937499999999997,0.275,0.49,-0.48,0.97,0.25452084271234054,0.064780859375,1
0.23117647058823526,0.31,0.46,-0.48,0.94,0.22053097295981372,0.04863391003460209,1
0.2122222222222222,0.31999999999999995,0.47,-0.36,0.83,0.23165001272406985,0.05366172839506172,1
0.2607142857142857,0.34,0.5,-0.22,0.72,0.18652706757673404,0.03479234693877551,1
0.24352941176470586,0.26,0.57,-0.39,0.96,0.22764629882834075,0.051822837370242215,1
0.17684210526315786,0.28,0.43,-0.59,1.02,0.24916814512079247,0.0620847645429363,1
0.25777777777777783,0.31,0.4,-0.2,0.6000000000000001,0.1677814569133032,0.028150617283950616,1
0.22000000000000006,0.315,0.41,-0.7,1.1099999999999999,0.2729468812791236,0.07449999999999998,1
-0.5266291300455729,-0.577491760253906,-0.194793701171875,-0.720672607421875,0.52587890625,0.17971490792986225,0.032297448132238865,2
-0.6266677856445318,-0.638320922851563,-0.0465850830078125,-1.03752136230469,0.9909362792968774,0.25971603144669025,0.0674524169904182,2
